sample	cluster	ST	Species	Dataset	Host	Source	year
SB279408048	24	10	Escherichia coli	SB27	Beef	Animal	2019
SRR9924646	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278790565	28	636	Escherichia coli	SB27	Human	Human	2018
SB278791241	29	345	Escherichia coli	SB27	Turkey	Animal	2018
SRR7724628	22	354	Escherichia coli	Contextual	Avian	Context	2017
SB278344825	16	1262	Escherichia coli	SB27	Human	Human	
SB279406670	20	1049	Escherichia coli	SB27	Turkey	Animal	2018
SRR14138276	18	174	Escherichia coli	Contextual	Human	Context	2017
SB2710442269	29	164	Escherichia coli	SB27	Beef	Animal	2019
SRR12206256	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR7724656	9	410	Escherichia coli	Contextual	Avian	Context	2017
SRR14138358	27	216	Escherichia coli	Contextual	Human	Context	2017
SB2710441835	29	906	Escherichia coli	SB27	Turkey	Animal	2021
SRR6979667	29	5409	Escherichia coli	Contextual	Swine	Context	2018
SRR7358287	8	11	Escherichia coli	Contextual	Human	Context	2018
SB279408922	19	69	Escherichia coli	SB27	Human	Human	2020
SB279406560	28	355	Escherichia coli	SB27	Turkey	Animal	2018
SB279408388	29	533	Escherichia coli	SB27	Turkey	Animal	2019
SB279408810	29	5378	Escherichia coli	SB27	Pork	Animal	2020
SB2710442209	29	5949	Escherichia coli	SB27	Pork	Animal	2019
SB2710442319	20	155	Escherichia coli	SB27	Beef	Animal	2019
SB279407997	28	6949	Escherichia coli	SB27	Turkey	Animal	2019
SRR7172279	8	11	Escherichia coli	Contextual	Human	Context	2018
SB278344808	9	23	Escherichia coli	SB27	Human	Human	
SB279407815	2	127	Escherichia coli	SB27	Human	Human	2020
SRR7716570	29	602	Escherichia coli	Contextual	Human	Context	2018
SB278790430	21	131	Escherichia coli	SB27	Human	Human	2018
SB278791596	25	57	Escherichia coli	SB27	Chicken	Animal	2018
SB278790665	3	12	Escherichia coli	SB27	Human	Human	2018
SRR11059194	29	2521	Escherichia coli	Contextual	Water/River	Context	2018
SB278791582	20	155	Escherichia coli	SB27	Beef	Animal	2018
SRR10310401	22	648	Escherichia coli	Contextual	Human	Context	2017
SB279407392	14	95	Escherichia coli	SB27	Human	Human	2019
SB279406816	23	8125	Escherichia coli	SB27	Human	Human	2019
SB279408380	15	401	Escherichia coli	SB27	Chicken	Animal	2019
SRR11550966	29	154	Escherichia coli	Contextual	Bovine	Context	2017
SB278791624	21	-	Escherichia coli	SB27	Human	Human	2017
SB278790757	16	1262	Escherichia coli	SB27	Human	Human	2018
SB279408800	29	602	Escherichia coli	SB27	Turkey	Animal	2020
SB278344682	19	69	Escherichia coli	SB27	Human	Human	
SB2710442277	29	2521	Escherichia coli	SB27	Beef	Animal	2019
SB2710442428	29	-	Escherichia coli	SB27	Beef	Animal	2019
SRR4787915	8	11	Escherichia coli	Contextual	Human	Context	2016
SB278790330	19	69	Escherichia coli	SB27	Human	Human	2018
SB2710442454	29	3234	Escherichia coli	SB27	Beef	Animal	2019
SB278790482	14	95	Escherichia coli	SB27	Human	Human	2018
SRR9017111	9	410	Escherichia coli	Contextual	Canine	Context	2018
SB2710442675	2	127	Escherichia coli	SB27	ND/Other	Context	
SB279406992	21	131	Escherichia coli	SB27	Human	Human	2019
SB278790838	16	73	Escherichia coli	SB27	Human	Human	2018
SB278790748	23	44	Escherichia coli	SB27	Human	Human	2017
SB279407022	3	12	Escherichia coli	SB27	Human	Human	2019
SRR5958623	8	11	Escherichia coli	Contextual	Bovine	Context	2017
SRR11473219	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB278790867	14	95	Escherichia coli	SB27	Human	Human	2018
SRR11047674	24	1491	Escherichia coli	Contextual	Human	Context	2017
SB279406877	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278344579	28	80	Escherichia coli	SB27	Human	Human	
SRR13209801	29	33	Escherichia coli	Contextual	Human	Context	2018
SB278790906	28	646	Escherichia coli	SB27	Human	Human	2018
SB2710442999	7	101	Escherichia coli	SB27	Pork	Animal	2020
SRR12206188	27	93	Escherichia coli	Contextual	Human	Context	2018
SB278791537	29	3234	Escherichia coli	SB27	Beef	Animal	2018
SRR14138335	29	224	Escherichia coli	Contextual	Canine	Context	2017
SB2710442108	29	-	Escherichia coli	SB27	Pork	Animal	2018
SB278344869	19	69	Escherichia coli	SB27	Human	Human	
SB2710442087	29	8949	Escherichia coli	SB27	Pork	Animal	2018
SB278344471	16	73	Escherichia coli	SB27	Human	Human	
SRR14138344	26	405	Escherichia coli	Contextual	Canine	Context	2017
SRR13209804	29	33	Escherichia coli	Contextual	Human	Context	2018
SB2710442342	25	3018	Escherichia coli	SB27	Beef	Animal	2019
SB278790680	19	69	Escherichia coli	SB27	Human	Human	2018
SB278790812	21	131	Escherichia coli	SB27	Human	Human	2018
SB278790300	3	12	Escherichia coli	SB27	Human	Human	2018
SB279407145	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790356	10	404	Escherichia coli	SB27	Human	Human	2018
SB279406494	15	6069	Escherichia coli	SB27	Chicken	Animal	2018
SB279406669	23	43	Escherichia coli	SB27	Turkey	Animal	2018
SB278791390	29	906	Escherichia coli	SB27	Turkey	Animal	2018
SB279408730	29	1844	Escherichia coli	SB27	Turkey	Animal	2020
SB278790395	29	2079	Escherichia coli	SB27	Human	Human	2018
SRR10310409	18	117	Escherichia coli	Contextual	Human	Context	2017
SB279406567	29	5949	Escherichia coli	SB27	Turkey	Animal	2018
SRR8632524	28	372	Escherichia coli	Contextual	Canine	Context	2018
SB279407254	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278790236	16	73	Escherichia coli	SB27	Human	Human	2018
SRR5037287	8	11	Escherichia coli	Contextual	Human	Context	2016
SB279406420	24	1564	Escherichia coli	SB27	Chicken	Animal	2018
SRR14138351	29	2722	Escherichia coli	Contextual	Canine	Context	2017
SB279408923	5	420	Escherichia coli	SB27	Human	Human	2020
SB278791429	29	5378	Escherichia coli	SB27	Turkey	Animal	2018
SB278791751	9	88	Escherichia coli	SB27	Chicken	Animal	2018
SB279408135	17	1236	Escherichia coli	SB27	Turkey	Animal	2019
SB278790772	2	-	Escherichia coli	SB27	Human	Human	2018
SB278344520	3	12	Escherichia coli	SB27	Human	Human	
SRR14138265	9	23	Escherichia coli	Contextual	Canine	Context	2017
SRR7231577	9	88	Escherichia coli	Contextual	Bovine	Context	2017
SRR7031292	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB2710441463	23	10	Escherichia coli	SB27	Pork	Animal	2021
SB278791295	20	616	Escherichia coli	SB27	Turkey	Animal	2018
SRR7369906	29	20	Escherichia coli	Contextual	Avian	Context	2018
SB279408690	18	117	Escherichia coli	SB27	Chicken	Animal	2020
SB279406777	2	127	Escherichia coli	SB27	Human	Human	2019
SB278345018	19	69	Escherichia coli	SB27	Human	Human	
SB278790536	14	95	Escherichia coli	SB27	Human	Human	2018
SB279407322	23	34	Escherichia coli	SB27	Human	Human	2019
SB278791349	29	3519	Escherichia coli	SB27	Turkey	Animal	2018
SB278344769	16	73	Escherichia coli	SB27	Human	Human	
SRR11094219	28	1444	Escherichia coli	Contextual	Human	Context	2018
SB278790804	10	404	Escherichia coli	SB27	Human	Human	2018
SB278344479	15	-	Escherichia coli	SB27	Human	Human	
SB279407167	16	73	Escherichia coli	SB27	Human	Human	2019
SB278344505	21	131	Escherichia coli	SB27	Human	Human	
SB279408097	23	10	Escherichia coli	SB27	Pork	Animal	2019
SB279407769	14	95	Escherichia coli	SB27	Human	Human	2020
SRR11939534	7	101	Escherichia coli	Contextual	Food	Context	2016
SB279407019	19	69	Escherichia coli	SB27	Human	Human	2019
SB279407050	14	95	Escherichia coli	SB27	Human	Human	2019
SB278791343	23	10	Escherichia coli	SB27	Turkey	Animal	2018
SB278344462	17	357	Escherichia coli	SB27	Human	Human	
SB2710442131	20	58	Escherichia coli	SB27	Beef	Animal	2018
SB279407855	22	457	Escherichia coli	SB27	Turkey	Animal	2019
SB279408164	29	2713	Escherichia coli	SB27	Beef	Animal	2019
SB278790714	29	1610	Escherichia coli	SB27	Human	Human	2018
SB278791699	5	420	Escherichia coli	SB27	Human	Human	2017
SRR7707876	24	542	Escherichia coli	Contextual	Swine	Context	2018
SB2710442911	29	1463	Escherichia coli	SB27	Beef	Animal	2020
SRR9280660	29	300	Escherichia coli	Contextual	Bovine	Context	2017
SRR7456548	8	11	Escherichia coli	Contextual	Human	Context	2018
SRR11473286	28	919	Escherichia coli	Contextual	Poultry	Context	2017
SB279407140	21	131	Escherichia coli	SB27	Human	Human	2019
SB279407035	16	73	Escherichia coli	SB27	Human	Human	2019
SB278791745	20	616	Escherichia coli	SB27	Turkey	Animal	2018
SB278344835	14	95	Escherichia coli	SB27	Human	Human	
SB279408740	20	58	Escherichia coli	SB27	Turkey	Animal	2020
SB279407472	16	73	Escherichia coli	SB27	Human	Human	2019
SB278344733	28	372	Escherichia coli	SB27	Human	Human	
SB2710443005	27	398	Escherichia coli	SB27	Pork	Animal	2020
SB2710442323	24	10	Escherichia coli	SB27	Beef	Animal	2019
SRR7265950	22	59	Escherichia coli	Contextual	Human	Context	2017
SB279408151	12	162	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442619	29	295	Escherichia coli	SB27	Beef	Animal	2019
SB2710442600	29	224	Escherichia coli	SB27	Beef	Animal	2019
SB279406404	23	10	Escherichia coli	SB27	Chicken	Animal	2018
SRR12206253	26	449	Escherichia coli	Contextual	Poultry	Context	2018
SB2710442451	29	642	Escherichia coli	SB27	Beef	Animal	2019
SB279408453	28	7804	Escherichia coli	SB27	Turkey	Animal	2019
SB279407000	14	-	Escherichia coli	SB27	Human	Human	2019
SRR11473226	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB278344858	14	95	Escherichia coli	SB27	Human	Human	
SB2710442188	13	38	Escherichia coli	SB27	Beef	Animal	2019
SB2710442079	11	399	Escherichia coli	SB27	Beef	Animal	2018
SB279408160	27	1434	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442930	29	4684	Escherichia coli	SB27	Beef	Animal	2020
SB2710442463	11	399	Escherichia coli	SB27	Pork	Animal	2019
SB279408911	21	131	Escherichia coli	SB27	Human	Human	2020
SRR11473237	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB279407123	29	711	Escherichia coli	SB27	Human	Human	2019
SB279406573	29	1611	Escherichia coli	SB27	Turkey	Animal	2018
SB278790919	10	1193	Escherichia coli	SB27	Human	Human	2018
SRR8868851	2	127	Escherichia coli	Contextual	Canine	Context	2018
SB278790309	2	127	Escherichia coli	SB27	Human	Human	2018
SB279408720	23	7978	Escherichia coli	SB27	Chicken	Animal	2020
SB2710442170	27	1434	Escherichia coli	SB27	Pork	Animal	2019
SRR11473288	20	155	Escherichia coli	Contextual	Poultry	Context	2017
SRR9016900	28	372	Escherichia coli	Contextual	Canine	Context	2018
SB278344803	26	6599	Escherichia coli	SB27	Human	Human	
SB279408837	29	345	Escherichia coli	SB27	Turkey	Animal	2019
SRR7266821	12	517	Escherichia coli	Contextual	Human	Context	2018
SB279407798	20	58	Escherichia coli	SB27	Human	Human	2020
SB278344960	7	359	Escherichia coli	SB27	Human	Human	
SB2710441507	29	154	Escherichia coli	SB27	Beef	Animal	2021
SB278790538	23	10	Escherichia coli	SB27	Human	Human	2018
SB278344540	19	69	Escherichia coli	SB27	Human	Human	
SB279407313	3	12	Escherichia coli	SB27	Human	Human	2019
SRR6682897	26	362	Escherichia coli	Contextual	Avian	Context	2017
SRR6185865	29	17	Escherichia coli	Contextual	Human	Context	2017
SB278790243	19	69	Escherichia coli	SB27	Human	Human	2018
SB279407471	20	155	Escherichia coli	SB27	Human	Human	2019
SRR11473211	25	371	Escherichia coli	Contextual	Poultry	Context	2016
SB278790258	29	1196	Escherichia coli	SB27	Human	Human	2018
SB278790431	14	95	Escherichia coli	SB27	Human	Human	2018
SRR9924625	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344776	23	-	Escherichia coli	SB27	Human	Human	
SB2710442416	29	-	Escherichia coli	SB27	Beef	Animal	2019
SRR6811276	24	10	Escherichia coli	Contextual	Swine	Context	2018
SB278790844	16	1278	Escherichia coli	SB27	Human	Human	2018
SB279407045	19	69	Escherichia coli	SB27	Human	Human	2019
SB2710441880	29	345	Escherichia coli	SB27	Beef	Animal	2021
SRR7724621	19	69	Escherichia coli	Contextual	Avian	Context	2017
SB278344828	10	1193	Escherichia coli	SB27	Human	Human	
SB2710442040	29	75	Escherichia coli	SB27	Pork	Animal	2018
SRR7458240	25	1204	Escherichia coli	Contextual	Bovine	Context	2018
SB2710441882	11	399	Escherichia coli	SB27	Beef	Animal	2021
SB279408929	16	73	Escherichia coli	SB27	Human	Human	2020
SRR6079442	8	11	Escherichia coli	Contextual	Human	Context	2017
SB278344614	16	73	Escherichia coli	SB27	Human	Human	
SB2710441520	29	906	Escherichia coli	SB27	Turkey	Animal	2021
SB279406512	29	1844	Escherichia coli	SB27	Chicken	Animal	2018
SRR11550957	7	101	Escherichia coli	Contextual	Bovine	Context	2016
SRR5005429	8	11	Escherichia coli	Contextual	Human	Context	2016
SB279407904	29	6595	Escherichia coli	SB27	Beef	Animal	2019
SB279408320	29	602	Escherichia coli	SB27	Turkey	Animal	2019
SRR7401629	29	25	Escherichia coli	Contextual	Human	Context	2018
SB279407343	21	131	Escherichia coli	SB27	Human	Human	2019
SB279408076	20	155	Escherichia coli	SB27	Turkey	Animal	2019
SRR4897608	8	335	Escherichia coli	Contextual	Human	Context	2017
SRR7401095	29	1056	Escherichia coli	Contextual	Soil/Dust	Context	2018
SB2710443026	18	117	Escherichia coli	SB27	Turkey	Animal	2020
SB278790642	21	131	Escherichia coli	SB27	Human	Human	2018
SRR10310418	29	1725	Escherichia coli	Contextual	Human	Context	2016
SB279406931	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710442942	23	10	Escherichia coli	SB27	Pork	Animal	2020
SRR8943449	7	101	Escherichia coli	Contextual	Avian	Context	2018
SB2710442650	29	4038	Escherichia coli	SB27	Beef	Animal	2019
SB2710441996	29	5378	Escherichia coli	SB27	Pork	Animal	2018
SRR11661570	6	770	Escherichia coli	Contextual	Poultry	Context	2018
SB278790827	23	10	Escherichia coli	SB27	Human	Human	2018
SB279407976	29	345	Escherichia coli	SB27	Turkey	Animal	2019
SB278791305	7	101	Escherichia coli	SB27	Beef	Animal	2018
SRR9924651	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344773	14	95	Escherichia coli	SB27	Human	Human	
SB278791479	20	58	Escherichia coli	SB27	Turkey	Animal	2018
SB279407377	21	131	Escherichia coli	SB27	Human	Human	2019
SRR7286520	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR9924616	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279408330	29	86	Escherichia coli	SB27	Pork	Animal	2019
SB2710441476	27	1434	Escherichia coli	SB27	Beef	Animal	2021
SRR3344214	8	11	Escherichia coli	Contextual	Bovine	Context	2016
SB279407421	2	127	Escherichia coli	SB27	Human	Human	2019
SB279407895	29	-	Escherichia coli	SB27	Chicken	Animal	2019
SRR12206258	23	10	Escherichia coli	Contextual	Human	Context	2018
SB2710442240	15	401	Escherichia coli	SB27	Beef	Animal	2019
SB279407860	25	-	Escherichia coli	SB27	Chicken	Animal	2019
SB278345003	16	73	Escherichia coli	SB27	Human	Human	
SB279406444	20	155	Escherichia coli	SB27	Chicken	Animal	2018
SB278791833	26	362	Escherichia coli	SB27	Chicken	Animal	2018
SB279406440	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SRR11354620	22	648	Escherichia coli	Contextual	Human	Context	2018
SB2710441594	29	937	Escherichia coli	SB27	Beef	Animal	2018
SB278791759	15	6069	Escherichia coli	SB27	Chicken	Animal	2018
SB2710441585	27	216	Escherichia coli	SB27	Beef	Animal	2018
SRR7724597	24	450	Escherichia coli	Contextual	Avian	Context	2017
SB2710441450	29	345	Escherichia coli	SB27	Turkey	Animal	2021
SB278790584	16	73	Escherichia coli	SB27	Human	Human	2018
SB279407348	20	58	Escherichia coli	SB27	Human	Human	2019
SB2710196279	28	2554	Escherichia coli	SB27	Human	Human	2020
SRR4897559	8	11	Escherichia coli	Contextual	Human	Context	2016
SB2710442030	29	1079	Escherichia coli	SB27	Beef	Animal	2018
SB2710442420	29	1146	Escherichia coli	SB27	Beef	Animal	2019
SB278790287	21	131	Escherichia coli	SB27	Human	Human	2018
SB278791760	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB278790679	2	127	Escherichia coli	SB27	Human	Human	2018
SB278791493	4	141	Escherichia coli	SB27	Turkey	Animal	2018
SRR6516002	29	4198	Escherichia coli	Contextual	Bovine	Context	2017
SRR7724639	19	69	Escherichia coli	Contextual	Avian	Context	2017
SB278790863	28	6323	Escherichia coli	SB27	Human	Human	2018
SRR13209823	29	33	Escherichia coli	Contextual	Human	Context	2017
SB278344762	29	1326	Escherichia coli	SB27	Human	Human	
SRR8486180	23	10	Escherichia coli	Contextual	ND/Other	Context	2018
SB278790523	23	10	Escherichia coli	SB27	Human	Human	2018
SB278344546	4	141	Escherichia coli	SB27	Human	Human	
SRR7031294	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB2710442310	29	4038	Escherichia coli	SB27	Beef	Animal	2019
SB278790771	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408726	4	141	Escherichia coli	SB27	Turkey	Animal	2020
SB279406792	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278790495	21	131	Escherichia coli	SB27	Human	Human	2018
SB279407358	2	-	Escherichia coli	SB27	Human	Human	2019
SB278344810	3	12	Escherichia coli	SB27	Human	Human	
SB279406941	16	73	Escherichia coli	SB27	Human	Human	2019
SB278791771	9	23	Escherichia coli	SB27	Chicken	Animal	2018
SB278791590	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB278344768	12	517	Escherichia coli	SB27	Human	Human	
SB278790785	14	1231	Escherichia coli	SB27	Human	Human	2018
SB279406686	16	73	Escherichia coli	SB27	Human	Human	2018
SRR8815902	14	95	Escherichia coli	Contextual	Canine	Context	2018
SRR7184327	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR7406188	24	1114	Escherichia coli	Contextual	Swine	Context	2018
SB279408101	29	345	Escherichia coli	SB27	Beef	Animal	2019
SRR6052710	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR14138311	22	648	Escherichia coli	Contextual	Canine	Context	2017
SRR8728091	28	646	Escherichia coli	Contextual	Canine	Context	2018
SRR11073111	27	6	Escherichia coli	Contextual	Human	Context	2017
SB279408181	29	1592	Escherichia coli	SB27	Beef	Animal	2019
SB279407856	29	86	Escherichia coli	SB27	Chicken	Animal	2019
SB278790314	10	1193	Escherichia coli	SB27	Human	Human	2018
SRR7031302	24	48	Escherichia coli	Contextual	Laboratory	Context	2017
SB279407459	19	69	Escherichia coli	SB27	Human	Human	2019
SRR6505045	27	93	Escherichia coli	Contextual	Swine	Context	2017
SB279407468	19	69	Escherichia coli	SB27	Human	Human	2019
SB279408138	27	6032	Escherichia coli	SB27	Turkey	Animal	2019
SB278791494	28	355	Escherichia coli	SB27	Turkey	Animal	2018
SRR7026299	9	410	Escherichia coli	Contextual	Water/River	Context	2018
SB279408924	14	95	Escherichia coli	SB27	Human	Human	2020
SRR3608509	23	10	Escherichia coli	Contextual	ND/Other	Context	2016
SRR7286260	16	73	Escherichia coli	Contextual	Human	Context	2017
SB279406571	18	657	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442383	29	5378	Escherichia coli	SB27	Pork	Animal	2019
SB278790818	16	73	Escherichia coli	SB27	Human	Human	2018
SB279407044	16	73	Escherichia coli	SB27	Human	Human	2019
SB279406721	16	73	Escherichia coli	SB27	Human	Human	2019
SB279408171	28	706	Escherichia coli	SB27	Turkey	Animal	2019
SRR9284583	20	2025	Escherichia coli	Contextual	Bovine	Context	2017
SB279408756	20	58	Escherichia coli	SB27	Turkey	Animal	2020
SB2710441518	29	906	Escherichia coli	SB27	Turkey	Animal	2021
SB278791400	29	5679	Escherichia coli	SB27	Turkey	Animal	2018
SB278791190	29	4038	Escherichia coli	SB27	Beef	Animal	2018
SB279407081	19	69	Escherichia coli	SB27	Human	Human	2019
SB279407779	2	-	Escherichia coli	SB27	Human	Human	2020
SB279408892	10	1193	Escherichia coli	SB27	Human	Human	2020
SB279407480	21	131	Escherichia coli	SB27	Human	Human	2019
SB278790733	2	127	Escherichia coli	SB27	Human	Human	2018
SB278791723	17	538	Escherichia coli	SB27	Human	Human	2017
SB2710443033	29	2768	Escherichia coli	SB27	Beef	Animal	2020
SB279406508	29	2522	Escherichia coli	SB27	Chicken	Animal	2018
SB278790443	28	636	Escherichia coli	SB27	Human	Human	2018
SB279406529	29	602	Escherichia coli	SB27	Chicken	Animal	2018
SB278790741	3	2604	Escherichia coli	SB27	Human	Human	2017
SB2710442370	27	216	Escherichia coli	SB27	Pork	Animal	2019
SB2710442161	15	401	Escherichia coli	SB27	Beef	Animal	2019
SB278344636	26	714	Escherichia coli	SB27	Human	Human	
SRR6001300	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR10310433	23	10	Escherichia coli	Contextual	Human	Context	2016
SRR7031313	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB279407816	10	1193	Escherichia coli	SB27	Human	Human	2020
SRR9924647	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344999	14	95	Escherichia coli	SB27	Human	Human	
SB278790841	21	131	Escherichia coli	SB27	Human	Human	2018
SB278344751	16	73	Escherichia coli	SB27	Human	Human	
SB279407215	25	7701	Escherichia coli	SB27	Human	Human	2019
SB279406912	28	372	Escherichia coli	SB27	Human	Human	2019
SB278791835	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SB279408252	29	109	Escherichia coli	SB27	Beef	Animal	2019
SB2710441935	27	3698	Escherichia coli	SB27	Beef	Animal	2018
SB278790922	26	393	Escherichia coli	SB27	Human	Human	2018
SRR9924608	13	38	Escherichia coli	Contextual	Human	Context	2017
SRR8359528	23	-	Escherichia coli	Contextual	Human	Context	2017
SB278791195	29	1582	Escherichia coli	SB27	Turkey	Animal	2018
SRR10310378	19	69	Escherichia coli	Contextual	Human	Context	2016
SRR7724611	22	4553	Escherichia coli	Contextual	Avian	Context	2017
SB278344618	17	357	Escherichia coli	SB27	Human	Human	
SB279407981	7	101	Escherichia coli	SB27	Pork	Animal	2019
SB279406920	21	131	Escherichia coli	SB27	Human	Human	2019
SB279407470	23	3877	Escherichia coli	SB27	Human	Human	2019
SB279408760	9	23	Escherichia coli	SB27	Turkey	Animal	2020
SB2710441841	29	898	Escherichia coli	SB27	Pork	Animal	2021
SB2710442218	29	75	Escherichia coli	SB27	Pork	Animal	2019
SRR12206226	24	48	Escherichia coli	Contextual	Poultry	Context	2018
SB278791467	20	155	Escherichia coli	SB27	Turkey	Animal	2018
SRR7656066	26	8445	Escherichia coli	Contextual	ND/Other	Context	2018
SB278790779	22	62	Escherichia coli	SB27	Human	Human	2018
SB279408311	29	906	Escherichia coli	SB27	Turkey	Animal	2019
SRR10536662	26	362	Escherichia coli	Contextual	Water/River	Context	2018
SRR7724617	22	1485	Escherichia coli	Contextual	Avian	Context	2017
SB279407418	1	349	Escherichia coli	SB27	Human	Human	2019
SB278345012	14	95	Escherichia coli	SB27	Human	Human	
SRR11473233	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB279406472	20	155	Escherichia coli	SB27	Turkey	Animal	2018
SB278791733	2	6092	Escherichia coli	SB27	Human	Human	2018
SRR8486179	23	10	Escherichia coli	Contextual	ND/Other	Context	2018
SB278344619	10	404	Escherichia coli	SB27	Human	Human	
SB279408184	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB279407785	21	131	Escherichia coli	SB27	Human	Human	2020
SRR7031296	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB278790245	19	69	Escherichia coli	SB27	Human	Human	2018
SB2710442043	29	6031	Escherichia coli	SB27	Pork	Animal	2018
SB279407370	14	95	Escherichia coli	SB27	Human	Human	2019
SRR14138302	16	73	Escherichia coli	Contextual	Canine	Context	2017
SB278790888	14	95	Escherichia coli	SB27	Human	Human	2018
SB279407440	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790345	21	-	Escherichia coli	SB27	Human	Human	2018
SRR14138271	21	131	Escherichia coli	Contextual	Canine	Context	2017
SB278790662	16	73	Escherichia coli	SB27	Human	Human	2018
SB2710442456	29	3558	Escherichia coli	SB27	Pork	Animal	2019
SRR7543354	29	278	Escherichia coli	Contextual	Bovine	Context	2018
SB279406867	21	131	Escherichia coli	SB27	Human	Human	2019
SB279408789	4	141	Escherichia coli	SB27	Turkey	Animal	2020
SB279408805	16	1618	Escherichia coli	SB27	Turkey	Animal	2020
SB279406782	2	127	Escherichia coli	SB27	Human	Human	2019
SB278791266	20	616	Escherichia coli	SB27	Turkey	Animal	2018
SB278790755	19	69	Escherichia coli	SB27	Human	Human	2018
SB278790375	16	73	Escherichia coli	SB27	Human	Human	2018
SB278790388	14	95	Escherichia coli	SB27	Human	Human	2018
SRR7204333	8	11	Escherichia coli	Contextual	Human	Context	2018
SRR7724589	23	744	Escherichia coli	Contextual	Avian	Context	2017
SB278790579	22	62	Escherichia coli	SB27	Human	Human	2018
SRR14138313	23	10	Escherichia coli	Contextual	Human	Context	2017
SRR6680602	29	1844	Escherichia coli	Contextual	Avian	Context	2017
SB279407433	29	3858	Escherichia coli	SB27	Human	Human	2019
SB278344475	16	73	Escherichia coli	SB27	Human	Human	
SB278344542	2	127	Escherichia coli	SB27	Human	Human	
SB2710442631	29	1727	Escherichia coli	SB27	Beef	Animal	2019
SB278791641	16	73	Escherichia coli	SB27	Human	Human	2017
SB278344593	16	73	Escherichia coli	SB27	Human	Human	
SB279406923	28	6669	Escherichia coli	SB27	Human	Human	2019
SB2710441421	7	101	Escherichia coli	SB27	Turkey	Animal	2021
SRR8350820	24	10	Escherichia coli	Contextual	Bovine	Context	2018
SB278791311	29	1611	Escherichia coli	SB27	Chicken	Animal	2018
SB278344643	28	144	Escherichia coli	SB27	Human	Human	
SRR6207759	23	43	Escherichia coli	Contextual	Plant	Context	2017
SB279407436	16	73	Escherichia coli	SB27	Human	Human	2019
SB278344606	17	428	Escherichia coli	SB27	Human	Human	
SRR7031322	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB278790889	24	450	Escherichia coli	SB27	Human	Human	2018
SB278344457	19	69	Escherichia coli	SB27	Human	Human	
SB2710442064	29	2328	Escherichia coli	SB27	Beef	Animal	2018
SB279408777	11	399	Escherichia coli	SB27	Pork	Animal	2020
SB279408134	12	162	Escherichia coli	SB27	Turkey	Animal	2019
SB279408094	24	-	Escherichia coli	SB27	Turkey	Animal	2019
SRR7244296	29	675	Escherichia coli	Contextual	Human	Context	2018
SRR9924604	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344465	29	2163	Escherichia coli	SB27	Human	Human	
SRR12206288	23	-	Escherichia coli	Contextual	Human	Context	2018
SB2710442889	24	-	Escherichia coli	SB27	Turkey	Animal	2020
SB278344548	10	404	Escherichia coli	SB27	Human	Human	
SB279406424	5	569	Escherichia coli	SB27	Chicken	Animal	2018
SRR9924644	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278344729	20	58	Escherichia coli	SB27	Human	Human	
SB2710196350	21	131	Escherichia coli	SB27	Human	Human	2020
SRR8397794	29	164	Escherichia coli	Contextual	Bovine	Context	2018
SRR7401633	26	720	Escherichia coli	Contextual	Avian	Context	2018
SB278791280	17	1236	Escherichia coli	SB27	Turkey	Animal	2018
SRR14138355	10	1193	Escherichia coli	Contextual	Human	Context	2017
SB2710442074	12	4360	Escherichia coli	SB27	Beef	Animal	2018
