sample	cluster	ST	Species	Dataset	Host	Source	Collection.Year	Continent	Country	Region
SRR13748607	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2021	North America	United States	Illinois
SRR14154184	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14250538	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14351967	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14760147	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14766729	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	South Dakota
SRR15104481	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR15680676	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	South Dakota
SRR16342648	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2021	North America	United States	Iowa
SRR16464337	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR16983451	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR17220474	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Kentucky
SRR11126596	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Iowa
SRR12075377	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Kentucky
SRR12595391	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Virginia
SRR12898993	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Pennsylvania
SRR13059443	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	South Dakota
SRR13379970	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	South Dakota
SRR13484473	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Pennsylvania
SRR13643241	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Virginia
SRR13628063	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Iowa
SRR14098005	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Pennsylvania
SRR15007625	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Iowa
SRR15668812	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Georgia
SRR15714243	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Kentucky
SRR15714285	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Iowa
SRR16250101	21	131	Escherichia coli	ST131 Context NA	Human	Human	2020	North America	United States	Iowa
SRR17774330	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Kentucky
SRR17729841	21	131	Escherichia coli	ST131 Context NA	Feline	Animal	2020	North America	United States	Iowa
SRR8502591	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	North Carolina
SRR8649792	21	131	Escherichia coli	ST131 Context Cali	Swine	Animal	2019	North America	United States	California
SRR8723136	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Montana
SRR8745379	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Indiana
SRR9048673	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Indiana
SRR9048655	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Missouri
SRR9139841	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Illinois
SRR9201969	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Oklahoma
SRR9201950	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Indiana
SRR9213437	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	North Carolina
SRR9617651	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Florida
SRR9962772	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Nebraska
SRR10085550	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Florida
SRR10094023	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Kentucky
SRR10165141	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	South Dakota
SRR10270781	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Georgia
SRR10340860	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Colorado
SRR10384591	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Minnesota
SRR8923482	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Arkansas
SRR10501690	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Iowa
SRR10490536	21	131	Escherichia coli	ST131 Context NA	Human	Human	2019	North America	United States	Massachusetts
SRR10490537	21	131	Escherichia coli	ST131 Context NA	Human	Human	2019	North America	United States	Massachusetts
SRR10490538	21	131	Escherichia coli	ST131 Context NA	Human	Human	2019	North America	United States	Massachusetts
SRR10460981	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Colorado
SRR10579940	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Tennessee
SRR10579941	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Tennessee
SRR10728195	21	131	Escherichia coli	ST131 Context NA	Human	Human	2019	North America	United States	Pennsylvania
SRR10691597	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Minnesota
SRR10687717	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Kansas
SRR10687815	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Tennessee
SRR10687832	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Pennsylvania
SRR10687880	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	South Dakota
SRR11029652	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	New York
SRR10947416	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Oklahoma
SRR10947409	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	New Jersey
SRR10883485	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Maryland
SRR10880599	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Virginia
SRR10880554	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Iowa
SRR11091349	21	131	Escherichia coli	ST131 Context NA	Water/River	Environment	2019	North America	United States	Washington
SRR11101145	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Iowa
SRR11408822	21	131	Escherichia coli	ST131 Context NA	Environment	Environment	2019	North America	United States	Kansas
SRR11423879	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	New York
SRR11420664	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	New York
SRR11561237	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Kentucky
SRR14219251	21	131	Escherichia coli	ST131 Context NA	Feline	Animal	2019	North America	United States	Georgia
SRR14237747	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR14237743	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR14237741	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR14292870	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR14292859	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR14298481	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2019	North America	United States	Georgia
SRR15714296	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2019	North America	United States	Georgia
SRR17729749	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	South Dakota
SRR6696804	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Illinois
SRR6764169	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Kentucky
SRR7192405	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Iowa
SRR7458243	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Iowa
SRR7647860	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Minnesota
SRR7795292	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Michigan
SRR8040832	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	New Jersey
SRR8136976	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Iowa
SRR8157258	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2018	North America	United States	Idaho
SRR8176761	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Kansas
SRR8216444	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Montana
SRR8451755	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Georgia
SRR8544144	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Indiana
SRR8632519	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Kentucky
SRR8728092	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Michigan
SRR8781981	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Florida
SRR8815916	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	North Dakota
SRR8815914	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	North Dakota
SRR8861535	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Georgia
SRR8868842	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Georgia
SRR8896888	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Mississippi
SRR9114664	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Texas
SRR9852809	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2018	North America	United States	Oregon
SRR9852833	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2018	North America	United States	Kansas
SRR9984657	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2018	North America	United States	North Carolina
SRR9984671	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2018	North America	United States	Kansas
SRR9984786	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2018	North America	United States	Texas
SRR10004486	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Massachusetts
SRR10005456	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Massachusetts
SRR10002668	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Nebraska
SRR8199434	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198768	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198770	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198773	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198774	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198775	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8198933	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8199036	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8199037	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR8199038	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728196	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728197	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728198	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728200	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728202	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728203	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728204	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728205	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728206	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728209	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728210	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728211	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728213	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728214	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728216	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR10728217	21	131	Escherichia coli	ST131 Context NA	Human	Human	2018	North America	United States	Pennsylvania
SRR13522410	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2018	North America	United States	Kentucky
SRR5420068	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5810510	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5810512	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5810513	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5901139	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5901125	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5901126	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5901129	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR5901135	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6006735	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6072765	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6165823	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6165827	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6164081	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6164082	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Massachusetts
SRR6212575	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2017	North America	United States	North Carolina
SRR6212401	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Kentucky
SRR6372083	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2017	North America	United States	Delaware
SRR6438333	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2017	North America	United States	Iowa
SRR6675965	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	New York
SRR6118624	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2017	North America	United States	New Jersey
SRR6796140	21	131	Escherichia coli	ST131 Context NA	Water/River	Environment	2017	North America	United States	Colorado
SRR6795924	21	131	Escherichia coli	ST131 Context NA	Water/River	Environment	2017	North America	United States	Colorado
SRR7122163	21	131	Escherichia coli	ST131 Context NA	Water/River	Environment	2017	North America	United States	Colorado
SRR7885213	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2017	North America	United States	Unresolved
SRR8095934	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Pennsylvania
SRR8095609	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Texas
SRR8095610	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2017	North America	United States	Iowa
SRR8095639	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Pennsylvania
SRR8095660	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	South Dakota
SRR8095669	21	131	Escherichia coli	ST131 Context NA	ND/Other	NA	2017	North America	United States	Iowa
SRR8095671	21	131	Escherichia coli	ST131 Context NA	Bovine	Animal	2017	North America	United States	Iowa
SRR8095710	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Tennessee
SRR8095778	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	South Dakota
SRR8095784	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Kansas
SRR8095816	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Kansas
SRR8095281	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	South Carolina
SRR8095345	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Georgia
SRR8095410	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Iowa
SRR8095418	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Iowa
SRR8095447	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Texas
SRR8095458	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Texas
SRR8095514	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Texas
SRR8095536	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Kansas
SRR8095539	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Iowa
SRR8095560	21	131	Escherichia coli	ST131 Context NA	Avian	Animal	2017	North America	United States	Texas
SRR8844662	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844663	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844664	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844665	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844666	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844667	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844668	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844670	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844671	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844672	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844673	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844674	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844675	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844676	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844677	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844678	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844679	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844680	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844681	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844682	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844683	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844684	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844685	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844686	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844687	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844688	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844689	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844690	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844691	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844692	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844693	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844694	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844695	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844697	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844698	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844700	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844701	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844702	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844703	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844704	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844705	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844706	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844707	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844708	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844709	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844710	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844711	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844718	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844722	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844723	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844727	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844728	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844729	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844732	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844733	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844734	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844735	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844736	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844737	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844738	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844739	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844740	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844741	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844742	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844743	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844744	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844745	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844746	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844747	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844748	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844749	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844751	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844752	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844753	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844754	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844755	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844764	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844765	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844766	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844767	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844768	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844769	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8844770	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Missouri
SRR8199576	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR8199203	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR8198771	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297490	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297598	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297604	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297605	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297606	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297168	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297169	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297170	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
SRR7297173	21	131	Escherichia coli	ST131 Context NA	Human	Human	2017	North America	United States	Pennsylvania
